,2009,2010,2013,2014,2015,2016,2017,2018,2019,ups,downs,end_day_sum,avg
01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039999997243285144,0.0,1.0,6.0,02-01,0.0004444444138142794
01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039999997243285144,0.0,1.0,6.0,02-02,0.0004444444138142794
01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039999997243285144,0.0,1.0,6.0,02-03,0.0004444444138142794
01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039999997243285144,0.0,1.0,6.0,02-04,0.0004444444138142794
01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039999997243285144,0.0,1.0,6.0,02-05,0.0004444444138142794
01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039999997243285144,0.0,1.0,6.0,02-06,0.0004444444138142794
01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039999997243285144,0.0,1.0,6.0,02-07,0.0004444444138142794
01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039999997243285144,0.0,1.0,6.0,02-08,0.0004444444138142794
01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039999997243285144,0.0,1.0,6.0,02-09,0.0004444444138142794
01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,02-10,0.0
01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,02-11,0.0
01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,02-12,0.0
01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,02-13,0.0
01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,02-14,0.0
01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,02-15,0.0
01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,02-16,0.0
01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,02-17,0.0
01-19,0.0,0.0,0.0,0.0,0.0,0.01470000110566616,0.0,0.0,0.0,1.0,7.0,02-18,0.001633333456185129
01-20,0.0,0.0,0.0,0.0,0.0,0.01470000110566616,0.0,0.0,0.0,1.0,7.0,02-19,0.001633333456185129
01-21,0.0,0.0,0.0,0.0,0.0,0.01470000110566616,0.0,0.0,0.0,1.0,7.0,02-20,0.001633333456185129
01-22,0.0,0.0,0.0,0.0,0.0,0.01470000110566616,0.0,0.0,0.0,1.0,6.0,02-21,0.001633333456185129
01-23,0.0,0.0,0.0,0.0,0.0,0.01470000110566616,0.0,0.0,0.0,1.0,6.0,02-22,0.001633333456185129
01-24,0.0,0.0,0.0,0.0,0.0,0.01470000110566616,0.0,0.0,0.0,1.0,6.0,02-23,0.001633333456185129
01-25,0.0,0.0,0.0,0.0,0.0,0.01470000110566616,0.0,0.0,0.0,1.0,6.0,02-24,0.001633333456185129
01-26,0.0,0.0,0.0,0.0,0.0,0.01470000110566616,0.0,0.0,0.0,1.0,6.0,02-25,0.001633333456185129
01-27,0.0,0.0,0.0,0.0,0.0,0.01470000110566616,0.0,0.0,0.0,1.0,6.0,02-26,0.001633333456185129
01-28,0.0,0.0,0.0,0.0,0.0,0.01470000110566616,0.0,0.0,0.0,1.0,6.0,02-27,0.001633333456185129
01-29,0.0,0.0,0.0,0.0,0.0,0.01470000110566616,0.0,0.0,0.0,1.0,6.0,02-28,0.001633333456185129
01-30,0.0,0.0,0.0,0.0,0.0,0.01470000110566616,0.0,0.0,0.0,1.0,6.0,03-01,0.001633333456185129
01-31,0.0,0.0,0.0,0.0,0.0,0.01470000110566616,0.0,0.0,0.0,1.0,6.0,03-02,0.001633333456185129
02-01,0.0,0.0,0.0,0.0,0.0,0.01470000110566616,0.0,0.0,0.0,1.0,6.0,03-03,0.001633333456185129
02-02,0.0,0.0,0.0,0.0,0.0,0.01470000110566616,0.0,0.0,0.0,1.0,6.0,03-04,0.001633333456185129
02-03,0.0,0.0,0.0,0.0,0.0,0.01470000110566616,0.0,0.0,0.0,1.0,6.0,03-05,0.001633333456185129
02-04,0.0,0.0,0.0,-0.004780001938343048,0.0,0.01470000110566616,0.0,0.0,0.0,1.0,6.0,03-06,0.001102222129702568
02-05,0.0,0.0,0.0,-0.004780001938343048,0.0,0.01470000110566616,0.009999999776482579,0.0,0.0,2.0,5.0,03-07,0.00221333321597841
02-06,0.0,0.0,0.0,-0.004780001938343048,0.0,0.01470000110566616,0.009999999776482579,0.0,0.0,2.0,5.0,03-08,0.00221333321597841
02-07,0.0,0.0,0.0,-0.004780001938343048,0.0,0.01470000110566616,0.009999999776482579,0.0,0.0,2.0,5.0,03-09,0.00221333321597841
02-08,0.0,0.0,0.0,-0.004780001938343048,0.0,0.01470000110566616,0.009999999776482579,0.0,0.0,2.0,5.0,03-10,0.00221333321597841
02-09,0.0,0.0,0.0,-0.004780001938343048,0.0,0.01470000110566616,0.009999999776482579,0.0,0.0,2.0,5.0,03-11,0.00221333321597841
02-10,0.0,0.0,0.0,-0.004780001938343048,0.0,0.01470000110566616,0.009999999776482579,0.0,0.0,2.0,5.0,03-12,0.00221333321597841
02-11,0.0,0.0,0.0,-0.004780001938343048,0.0,0.01470000110566616,0.009999999776482579,0.0,0.0,2.0,5.0,03-13,0.00221333321597841
02-12,0.0,0.0,0.0,-0.004780001938343048,0.0,0.01470000110566616,0.009999999776482579,0.0,0.0,2.0,5.0,03-14,0.00221333321597841
02-13,0.0,0.0,0.0,-0.004780001938343048,0.0,0.0,0.009999999776482579,0.0,0.0,1.0,6.0,03-15,0.0005799997597932811
02-14,0.0,0.0,0.0,-0.004780001938343048,0.0,0.0,0.009999999776482579,0.0,0.0,1.0,6.0,03-16,0.0005799997597932811
02-15,0.0,0.0,0.0,-0.004780001938343048,0.0,0.0,0.009999999776482579,0.0,0.0,1.0,6.0,03-17,0.0005799997597932811
02-16,0.0,0.0,0.0,-0.004780001938343048,0.0,0.0,0.009999999776482579,0.0,0.0,1.0,6.0,03-18,0.0005799997597932811
02-17,0.0,0.0,0.0,-0.004780001938343048,0.0,0.0,0.009999999776482579,0.0,0.0,1.0,6.0,03-19,0.0005799997597932811
02-18,0.0,0.0,0.0,-0.004780001938343048,0.0,0.0,0.009999999776482579,0.0,0.0,1.0,6.0,03-20,0.0005799997597932811
02-19,0.0,0.0,0.0,-0.004780001938343048,0.0,0.0,0.009999999776482579,0.0,0.0,1.0,6.0,03-21,0.0005799997597932811
02-20,0.0,0.0,0.0,-0.004780001938343048,0.0,0.0,0.009999999776482579,0.0,0.0,1.0,6.0,03-22,0.0005799997597932811
02-21,0.0,0.0,0.0,-0.004780001938343048,0.0034900009632110596,0.0,0.009999999776482579,0.0,0.0,2.0,5.0,03-23,0.00096777764459451
02-22,0.0,0.0,0.0,-0.004780001938343048,0.0034900009632110596,0.0,0.009999999776482579,0.0,0.0,2.0,5.0,03-24,0.00096777764459451
02-23,0.0,0.0,0.0,-0.004780001938343048,0.0034900009632110596,0.0,0.009999999776482579,0.0,0.0,2.0,5.0,03-25,0.00096777764459451
