,2009,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-19,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-19,-0.03373129367828369
01-20,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-20,-0.03373129367828369
01-21,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-21,-0.03373129367828369
01-22,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-22,-0.03373129367828369
01-23,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-23,-0.03373129367828369
01-24,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-24,-0.03373129367828369
01-25,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-25,-0.03373129367828369
01-26,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-26,-0.03373129367828369
01-27,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-27,-0.03373129367828369
01-28,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-28,-0.03373129367828369
01-29,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-29,-0.03373129367828369
01-30,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-30,-0.03373129367828369
01-31,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-31,-0.03373129367828369
02-01,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,04-01,-0.03373129367828369
02-02,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,04-02,-0.03373129367828369
02-03,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,04-03,-0.03373129367828369
02-04,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,04-04,-0.03373129367828369
02-05,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,04-05,-0.03373129367828369
02-06,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,04-06,-0.03373129367828369
02-07,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,04-07,-0.03373129367828369
02-08,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,04-08,-0.03373129367828369
02-09,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,04-09,-0.03373129367828369
02-10,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,04-10,-0.03373129367828369
02-11,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,04-11,-0.03373129367828369
02-12,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,04-12,-0.03373129367828369
02-13,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,04-13,-0.03373129367828369
02-14,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,04-14,-0.03373129367828369
02-15,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,04-15,-0.03373129367828369
02-16,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,04-16,-0.03373129367828369
02-17,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,04-17,-0.03373129367828369
02-18,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,04-18,-0.03373129367828369
02-19,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,04-19,-0.03373129367828369
02-20,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,04-20,-0.03373129367828369
02-21,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,04-21,-0.03373129367828369
02-22,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,04-22,-0.03373129367828369
02-23,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,04-23,-0.03373129367828369
02-24,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,04-24,-0.03373129367828369
02-25,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,04-25,-0.03373129367828369
02-26,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,04-26,-0.03373129367828369
02-27,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,04-27,-0.03373129367828369
02-28,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,04-28,-0.03373129367828369
02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04-29,0.0
03-01,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,04-30,-0.03373129367828369
03-02,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-01,-0.03373129367828369
03-03,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-02,-0.03373129367828369
03-04,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-03,-0.03373129367828369
03-05,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-04,-0.03373129367828369
03-06,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-05,-0.03373129367828369
03-07,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-06,-0.03373129367828369
03-08,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-07,-0.03373129367828369
03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-08,0.0
03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-09,0.0
03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-10,0.0
03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-11,0.0
03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-12,0.0
03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-13,0.0
03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-14,0.0
03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-15,0.0
03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-16,0.0
03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-17,0.0
03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-18,0.0
03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-19,0.0
03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-20,0.0
03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-21,0.0
03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-22,0.0
03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-23,0.0
03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-24,0.0
03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-25,0.0
03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-26,0.0
03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-27,0.0
03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-28,0.0
03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-29,0.0
03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-30,0.0
04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-31,0.0
04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,06-01,0.0
04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,06-02,0.0
04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,06-03,0.0
04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,06-04,0.0
04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,06-05,0.0
04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,06-06,0.0
04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,06-07,0.0
04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,06-08,0.0
04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,06-09,0.0
04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,06-10,0.0
04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,06-11,0.0
04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,06-12,0.0
04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,06-13,0.0
04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,06-14,0.0
04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,06-15,0.0
04-17,0.0,0.0,0.0,0.0,0.5801240205764767,0.0,0.0,0.0,0.0,0.0,1.0,7.0,06-16,0.05801240205764767
04-18,0.0,0.0,0.0,0.0,0.5801240205764767,0.0,0.0,0.0,0.0,0.0,1.0,7.0,06-17,0.05801240205764767
04-19,0.0,0.0,0.0,0.0,0.5801240205764767,0.0,0.0,0.0,0.0,0.0,1.0,8.0,06-18,0.05801240205764767
04-20,0.0,0.0,0.0,0.0,0.5801240205764767,0.0,0.0,0.0,0.0,0.0,1.0,8.0,06-19,0.05801240205764767
04-21,0.0,0.0,0.0,0.0,0.5801240205764767,0.0,0.0,0.0,0.0,0.0,1.0,8.0,06-20,0.05801240205764767
04-22,0.0,0.0,0.0,0.0,0.5801240205764767,0.0,0.0,0.0,0.0,0.0,1.0,8.0,06-21,0.05801240205764767
04-23,0.0,0.0,0.0,0.0,0.5801240205764767,0.0,0.0,0.0,0.0,0.0,1.0,8.0,06-22,0.05801240205764767
04-24,0.0,0.0,0.0,0.0,0.5801240205764767,0.0,0.0,0.0,0.0,0.0,1.0,8.0,06-23,0.05801240205764767
04-25,0.0,0.0,0.0,0.0,0.5801240205764767,0.0,0.0,0.0,0.0,0.0,1.0,8.0,06-24,0.05801240205764767
04-26,0.0,0.0,0.0,0.0,0.5801240205764767,0.0,0.0,0.0,0.0,0.0,1.0,8.0,06-25,0.05801240205764767
04-27,0.0,0.0,0.0,0.0,0.5801240205764767,0.0,0.0,0.0,0.0,0.0,1.0,8.0,06-26,0.05801240205764767
04-28,0.0,0.0,0.0,0.0,0.5801240205764767,0.0,0.0,0.0,0.0,0.0,1.0,8.0,06-27,0.05801240205764767
04-29,0.0,0.0,0.0,0.0,0.5801240205764767,0.0,0.0,0.0,0.0,0.0,1.0,8.0,06-28,0.05801240205764767
04-30,0.0,0.0,0.0,0.0,0.5801240205764767,0.0,0.0,0.0,0.0,0.0,1.0,8.0,06-29,0.05801240205764767
05-01,0.0,0.0,0.0,0.0,0.5801240205764767,0.0,0.0,0.0,0.0,0.0,1.0,8.0,06-30,0.05801240205764767
05-02,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,8.0,07-01,0.02031140327453612
05-03,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,8.0,07-02,0.02031140327453612
05-04,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,8.0,07-03,0.02031140327453612
05-05,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,8.0,07-04,0.02031140327453612
05-06,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,8.0,07-05,0.02031140327453612
05-07,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,8.0,07-06,0.02031140327453612
05-08,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,8.0,07-07,0.02031140327453612
05-09,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,8.0,07-08,0.02031140327453612
05-10,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,8.0,07-09,0.02031140327453612
05-11,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,8.0,07-10,0.02031140327453612
05-12,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,8.0,07-11,0.02031140327453612
05-13,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,8.0,07-12,0.02031140327453612
05-14,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,07-13,0.02031140327453612
05-15,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,07-14,0.02031140327453612
05-16,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,07-15,0.02031140327453612
05-17,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,07-16,0.02031140327453612
05-18,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,07-17,0.02031140327453612
05-19,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,07-18,0.02031140327453612
05-20,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,07-19,0.02031140327453612
05-21,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,07-20,0.02031140327453612
05-22,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,07-21,0.02031140327453612
05-23,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,07-22,0.02031140327453612
05-24,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,07-23,0.02031140327453612
05-25,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,07-24,0.02031140327453612
05-26,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,07-25,0.02031140327453612
05-27,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,07-26,0.02031140327453612
05-28,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,07-27,0.02031140327453612
05-29,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,07-28,0.02031140327453612
05-30,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,07-29,0.02031140327453612
05-31,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,07-30,0.02031140327453612
06-01,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,07-31,0.02031140327453612
06-02,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,08-01,0.02031140327453612
06-03,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,08-02,0.02031140327453612
06-04,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,08-03,0.02031140327453612
06-05,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,08-04,0.02031140327453612
06-06,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,08-05,0.02031140327453612
06-07,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,08-06,0.02031140327453612
06-08,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,08-07,0.02031140327453612
06-09,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,08-08,0.02031140327453612
06-10,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,08-09,0.02031140327453612
06-11,0.0,0.0,0.0,0.0,0.20311403274536122,0.0,0.0,0.0,0.0,0.0,1.0,9.0,08-10,0.02031140327453612
06-12,0.0,0.0,0.0,0.0,-0.3770099878311155,0.0,0.0,0.0,0.0,0.0,0.0,10.0,08-11,-0.03770099878311155
06-13,0.0,0.0,0.0,0.0,-0.3770099878311155,0.0,0.0,0.0,0.0,0.0,0.0,10.0,08-12,-0.03770099878311155
06-14,0.0,0.0,0.0,0.0,-0.3770099878311155,0.0,0.0,0.0,0.0,0.0,0.0,10.0,08-13,-0.03770099878311155
06-15,0.0,0.0,0.0,0.0,-0.3770099878311155,0.0,0.0,0.0,0.0,0.0,0.0,10.0,08-14,-0.03770099878311155
06-16,0.0,0.0,0.0,0.0,-0.3770099878311155,0.0,0.0,0.0,0.0,0.0,0.0,10.0,08-15,-0.03770099878311155
06-17,0.0,0.0,0.0,0.0,-0.3770099878311155,0.0,0.0,0.0,0.0,0.0,0.0,10.0,08-16,-0.03770099878311155
06-18,0.0,0.0,0.0,0.0,-0.3770099878311155,0.0,0.0,0.0,0.0,0.0,0.0,10.0,08-17,-0.03770099878311155
06-19,0.0,0.0,0.0,0.0,-0.3770099878311155,0.0,0.0,0.0,0.0,0.0,0.0,10.0,08-18,-0.03770099878311155
06-20,0.0,0.0,0.0,0.0,-0.3770099878311155,0.0,0.0,0.0,0.0,0.0,0.0,10.0,08-19,-0.03770099878311155
06-21,0.0,0.0,0.0,0.0,-0.3770099878311155,0.0,0.0,0.0,0.0,0.0,0.0,10.0,08-20,-0.03770099878311155
06-22,0.0,0.0,0.0,0.0,-0.3770099878311155,0.0,0.0,0.0,0.0,0.0,0.0,10.0,08-21,-0.03770099878311155
06-23,0.0,0.0,0.0,0.0,-0.3770099878311155,0.0,0.0,0.0,0.0,0.0,0.0,10.0,08-22,-0.03770099878311155
06-24,0.0,0.0,0.0,0.0,-0.3770099878311155,0.0,0.0,0.0,0.0,0.0,0.0,10.0,08-23,-0.03770099878311155
06-25,0.0,0.0,0.0,0.0,-0.3770099878311155,0.0,0.0,0.0,0.0,0.0,0.0,10.0,08-24,-0.03770099878311155
06-26,0.0,0.0,0.0,0.0,-0.3770099878311155,0.0,0.0,0.0,0.0,0.0,0.0,10.0,08-25,-0.03770099878311155
06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,08-26,0.0
06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,08-27,0.0
06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,08-28,0.0
06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,08-29,0.0
07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,08-30,0.0
07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,08-31,0.0
07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,09-01,0.0
07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,09-03,0.0
07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,09-04,0.0
07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,09-05,0.0
07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,09-06,0.0
07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,09-07,0.0
07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,09-08,0.0
07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,09-09,0.0
07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,09-10,0.0
07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,09-11,0.0
07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,09-12,0.0
07-15,0.0,0.0,0.0,0.0,0.0,0.43501007556915305,0.0,0.0,0.0,0.0,1.0,9.0,09-13,0.04350100755691531
07-16,0.0,0.0,0.0,0.0,0.0,0.43501007556915305,0.0,0.0,0.0,0.0,1.0,9.0,09-14,0.04350100755691531
07-17,0.0,0.0,0.0,0.0,0.0,0.43501007556915305,0.0,0.0,0.0,0.0,1.0,9.0,09-15,0.04350100755691531
07-18,0.0,0.0,0.0,0.0,0.0,0.386680006980896,0.0,0.0,0.0,0.0,1.0,9.0,09-16,0.0386680006980896
07-19,0.0,0.0,0.0,0.0,0.0,0.386680006980896,0.0,0.0,0.0,0.0,1.0,9.0,09-17,0.0386680006980896
07-20,0.0,0.0,0.0,0.0,0.0,0.386680006980896,0.0,0.0,0.0,0.0,1.0,9.0,09-18,0.0386680006980896
07-21,0.0,0.0,0.0,0.0,0.0,0.386680006980896,0.0,0.0,0.0,0.0,1.0,9.0,09-19,0.0386680006980896
07-22,0.0,0.0,0.0,0.0,0.0,0.386680006980896,0.0,0.0,0.0,0.0,1.0,9.0,09-20,0.0386680006980896
07-23,0.0,0.0,0.0,0.0,0.0,0.386680006980896,0.0,0.0,0.0,0.0,1.0,9.0,09-21,0.0386680006980896
07-24,0.0,0.0,0.0,0.0,0.0,0.386680006980896,0.0,0.0,0.0,0.0,1.0,9.0,09-22,0.0386680006980896
07-25,0.0,0.0,0.0,0.0,0.0,0.386680006980896,0.0,0.0,0.0,0.0,1.0,9.0,09-23,0.0386680006980896
