,2009,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02500000037252903,0.0,0.0,0.0,8.0,03-02,-0.002500000037252903
01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02500000037252903,0.0,0.0,0.0,8.0,03-03,-0.002500000037252903
01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02500000037252903,0.0,0.0,0.0,8.0,03-04,-0.002500000037252903
01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02500000037252903,0.0,0.0,0.0,8.0,03-05,-0.002500000037252903
01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02500000037252903,0.0,0.0,0.0,8.0,03-06,-0.002500000037252903
01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02500000037252903,0.0,0.0,0.0,8.0,03-07,-0.002500000037252903
01-08,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,-0.02500000037252903,0.0,0.0,0.0,8.0,03-08,-0.0036000000312924373
01-09,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,-0.02500000037252903,0.0,0.0,0.0,8.0,03-09,-0.0036000000312924373
01-10,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,-0.02500000037252903,0.0,0.0,0.0,8.0,03-10,-0.0036000000312924373
01-11,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,-0.02500000037252903,0.0,0.0,0.0,8.0,03-11,-0.0036000000312924373
01-12,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,-0.02500000037252903,0.0,0.0,0.0,8.0,03-12,-0.0036000000312924373
01-13,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,-0.02500000037252903,0.0,0.0,0.0,8.0,03-13,-0.0036000000312924373
01-14,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,-0.02500000037252903,0.0,0.0,0.0,8.0,03-14,-0.0036000000312924373
01-15,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,-0.02500000037252903,0.0,0.0,0.0,8.0,03-15,-0.0036000000312924373
01-16,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,-0.02500000037252903,0.0,0.0,0.0,8.0,03-16,-0.0036000000312924373
01-17,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,-0.02500000037252903,0.0,0.0,0.0,8.0,03-17,-0.0036000000312924373
01-18,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,-0.02500000037252903,0.0,0.0,0.0,8.0,03-18,-0.0036000000312924373
01-19,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,-0.02500000037252903,0.0,0.0,0.0,8.0,03-19,-0.0036000000312924373
01-20,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,-0.02500000037252903,0.0,0.0,0.0,8.0,03-20,-0.0036000000312924373
01-21,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,-0.02500000037252903,0.0,0.0,0.0,8.0,03-21,-0.0036000000312924373
01-22,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,-0.02500000037252903,0.0,0.0,0.0,8.0,03-22,-0.0036000000312924373
01-23,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,-0.02500000037252903,0.0,0.0,0.0,8.0,03-23,-0.0036000000312924373
01-24,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,-0.02500000037252903,0.0,0.0,0.0,8.0,03-24,-0.0036000000312924373
01-25,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,-0.02500000037252903,0.0,0.0,0.0,8.0,03-25,-0.0036000000312924373
01-26,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,-0.02500000037252903,0.0,0.0,0.0,8.0,03-26,-0.0036000000312924373
01-27,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,-0.02500000037252903,0.0,0.0,0.0,8.0,03-27,-0.0036000000312924373
01-28,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,-0.02500000037252903,0.0,0.0,0.0,8.0,03-28,-0.0036000000312924373
01-29,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,-0.02500000037252903,0.0,0.0,0.0,8.0,03-29,-0.0036000000312924373
01-30,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,-0.02500000037252903,0.0,0.0,0.0,8.0,03-30,-0.0036000000312924373
01-31,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,-0.02500000037252903,0.0,0.0,0.0,8.0,03-31,-0.0036000000312924373
02-01,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,-0.02500000037252903,0.0,-0.005999999120831486,0.0,8.0,04-01,-0.004199999943375586
02-02,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,-0.02500000037252903,0.0,-0.005999999120831486,0.0,8.0,04-02,-0.004199999943375586
02-03,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,0.0,0.0,-0.005999999120831486,0.0,8.0,04-03,-0.0016999999061226827
02-04,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,0.0,0.0,-0.005999999120831486,0.0,8.0,04-04,-0.0016999999061226827
02-05,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,0.0,0.0,-0.005999999120831486,0.0,8.0,04-05,-0.0016999999061226827
02-06,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,0.0,0.0,-0.005999999120831486,0.0,8.0,04-06,-0.0016999999061226827
02-07,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,0.0,0.0,-0.005999999120831486,0.0,8.0,04-07,-0.0016999999061226827
02-08,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,0.0,0.0,-0.005999999120831486,0.0,8.0,04-08,-0.0016999999061226827
02-09,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,0.0,0.0,0.0,0.0,8.0,04-09,-0.0010999999940395342
02-10,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,0.0,0.0,0.0,0.0,8.0,04-10,-0.0010999999940395342
02-11,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,0.0,0.0,0.0,0.0,8.0,04-11,-0.0010999999940395342
02-12,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,0.0,0.0,0.0,0.0,8.0,04-12,-0.0010999999940395342
02-13,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,0.0,0.0,0.0,0.0,8.0,04-13,-0.0010999999940395342
02-14,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,0.0,0.0,0.0,0.0,8.0,04-14,-0.0010999999940395342
02-15,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,0.0,0.0,0.0,0.0,8.0,04-15,-0.0010999999940395342
02-16,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,0.0,0.0,0.0,0.0,8.0,04-16,-0.0010999999940395342
02-17,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,0.0,0.0,0.0,0.0,8.0,04-17,-0.0010999999940395342
02-18,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,0.0,0.0,0.0,0.0,8.0,04-18,-0.0010999999940395342
02-19,0.0,0.0,0.0,0.0,-0.028999999165535,-0.010999999940395341,0.0,0.0,0.0,0.0,0.0,8.0,04-19,-0.003999999910593034
02-20,0.0,0.0,0.0,0.0,-0.028999999165535,-0.010999999940395341,0.0,0.0,0.0,0.0,0.0,8.0,04-20,-0.003999999910593034
02-21,0.0,0.0,0.0,0.0,-0.028999999165535,-0.010999999940395341,0.0,0.0,0.0,0.0,0.0,8.0,04-21,-0.003999999910593034
02-22,0.0,0.0,0.0,0.0,-0.028999999165535,-0.010999999940395341,0.0,0.0,0.0,0.0,0.0,8.0,04-22,-0.003999999910593034
02-23,0.0,0.0,0.0,0.0,-0.028999999165535,-0.010999999940395341,0.0,0.0,0.0,0.0,0.0,8.0,04-23,-0.003999999910593034
02-24,0.0,0.0,0.0,0.0,-0.028999999165535,-0.010999999940395341,0.0,0.0,0.0,0.0,0.0,8.0,04-24,-0.003999999910593034
02-25,0.0,0.0,0.0,0.0,-0.028999999165535,-0.010999999940395341,0.0,0.0,0.0,0.0,0.0,8.0,04-25,-0.003999999910593034
02-26,0.0,0.0,0.0,0.0,-0.028999999165535,-0.010999999940395341,0.0,0.0,0.0,0.0,0.0,8.0,04-26,-0.003999999910593034
02-27,0.0,0.0,0.0,0.0,-0.028999999165535,-0.010999999940395341,0.0,0.0,0.0,0.0,0.0,8.0,04-27,-0.003999999910593034
02-28,0.0,0.0,0.0,0.0,-0.028999999165535,-0.010999999940395341,0.0,0.0,0.0,0.0,0.0,8.0,04-28,-0.003999999910593034
02-29,0.0,0.0,0.0,0.0,0.0,-0.010999999940395341,0.0,0.0,0.0,0.0,0.0,2.0,04-29,-0.0010999999940395342
03-01,0.0,0.0,0.0,0.0,-0.028999999165535,-0.010999999940395341,0.0,0.0,0.0,0.0,0.0,8.0,04-30,-0.003999999910593034
03-02,0.0,0.0,0.0,0.0,-0.028999999165535,-0.010999999940395341,0.0,0.0,0.0,0.0,0.0,8.0,05-01,-0.003999999910593034
03-03,0.0,0.0,0.0,0.0,-0.028999999165535,-0.010999999940395341,0.0,0.0,0.0,0.0,0.0,8.0,05-02,-0.003999999910593034
03-04,0.0,0.0,0.0,0.0,-0.028999999165535,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-03,-0.0028999999165535
03-05,0.0,0.0,0.0,0.0,-0.028999999165535,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-04,-0.0028999999165535
03-06,0.0,0.0,0.0,0.0,-0.028999999165535,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-05,-0.0028999999165535
03-07,0.0,0.0,0.0,0.0,-0.028999999165535,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-06,-0.0028999999165535
03-08,0.0,0.0,0.0,0.0,-0.028999999165535,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-07,-0.0028999999165535
03-09,0.0,0.0,0.0,0.0,-0.028999999165535,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-08,-0.0028999999165535
03-10,0.0,0.0,0.0,0.0,-0.028999999165535,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-09,-0.0028999999165535
03-11,0.0,0.0,0.0,0.0,-0.028999999165535,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-10,-0.0028999999165535
03-12,0.0,0.0,0.0,0.0,-0.028999999165535,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-11,-0.0028999999165535
03-13,0.0,0.0,0.0,0.0,-0.028999999165535,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-12,-0.0028999999165535
03-14,0.0,0.0,0.0,0.0,-0.028999999165535,0.0,0.0,0.0,0.0,0.0,0.0,8.0,05-13,-0.0028999999165535
