,2009,2010,2011,2012,2013,2020,ups,downs,end_day_sum,avg
02-04,0.00019999995129182946,-0.0004000000189989802,0.0,0.0,0.0,0.0,1.0,4.0,04-04,-3.3333344617858455e-05
02-05,0.00019999995129182946,-0.0004000000189989802,0.0,0.0,0.0,0.0,1.0,4.0,04-05,-3.3333344617858455e-05
02-06,0.0023999999975785613,-0.0004000000189989802,0.0,0.0,0.0,0.0,1.0,4.0,04-06,0.0003333333297632635
02-07,0.0023999999975785613,-0.0004000000189989802,0.0,0.0,0.0,0.0,1.0,4.0,04-07,0.0003333333297632635
02-08,0.0023999999975785613,-0.0004000000189989802,0.0,0.0,0.0,0.0,1.0,4.0,04-08,0.0003333333297632635
02-09,0.0023999999975785613,-0.001400000066496431,0.0,0.0,0.0,0.0,1.0,4.0,04-09,0.00016666665518035506
02-10,0.0023999999975785613,0.0,0.0,0.0,0.0,0.0,1.0,4.0,04-10,0.0003999999995964269
02-11,0.0023999999975785613,0.0,0.0,0.0,0.0,0.0,1.0,4.0,04-11,0.0003999999995964269
02-12,0.0023999999975785613,0.0,0.0,0.0,0.0,0.0,1.0,4.0,04-12,0.0003999999995964269
02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,04-13,0.0
02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,04-14,0.0
02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,04-15,0.0
02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,04-16,0.0
02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,04-17,0.0
02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,04-19,0.0
02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,04-20,0.0
02-21,0.0023999999975785613,0.0,0.0,0.0,0.0,0.0,1.0,4.0,04-21,0.0003999999995964269
02-22,0.0023999999975785613,0.0,0.0,0.0,0.0,0.0,1.0,4.0,04-22,0.0003999999995964269
02-23,0.0023999999975785613,0.0,0.0,0.0,0.0,0.0,1.0,4.0,04-23,0.0003999999995964269
02-24,0.0023999999975785613,0.0,0.0,0.0,0.0,0.0,1.0,3.0,04-24,0.0003999999995964269
02-25,0.0023999999975785613,0.0,0.0,0.0,0.0,0.0,1.0,3.0,04-25,0.0003999999995964269
02-26,0.0023999999975785613,0.0,0.0,0.0,0.0,0.0,1.0,3.0,04-26,0.0003999999995964269
02-27,0.0023999999975785613,0.0,0.0,0.0,0.0,0.0,1.0,3.0,04-27,0.0003999999995964269
02-28,0.0023999999975785613,0.0,0.0,0.0,0.0,0.0,1.0,3.0,04-28,0.0003999999995964269
02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,04-29,0.0
03-01,0.0023999999975785613,0.0,0.0,0.0,0.0,0.0,1.0,3.0,04-30,0.0003999999995964269
03-02,0.0023999999975785613,0.0,0.0,0.0,0.0,0.0,1.0,3.0,05-01,0.0003999999995964269
03-04,0.0023999999975785613,0.0,0.0,0.0,0.0,0.0,1.0,3.0,05-03,0.0003999999995964269
03-05,0.0023999999975785613,0.0,0.0,0.0,0.0,0.0,1.0,3.0,05-04,0.0003999999995964269
03-06,0.0023999999975785613,0.0,0.0,0.0,0.0,0.0,1.0,3.0,05-05,0.0003999999995964269
03-07,0.0023999999975785613,0.0,0.0,0.0,0.0,0.0,1.0,3.0,05-06,0.0003999999995964269
03-08,0.0023999999975785613,0.0,0.0,0.0,0.0,0.0,1.0,3.0,05-07,0.0003999999995964269
03-09,0.0023999999975785613,0.0,0.0,0.0,0.0,0.0,1.0,3.0,05-08,0.0003999999995964269
03-11,0.0023999999975785613,0.0,0.0,0.0,0.0,0.0,1.0,3.0,05-10,0.0003999999995964269
03-12,0.0023999999975785613,0.00010000001930166022,0.0,0.0,0.0,0.0,2.0,2.0,05-11,0.00041666666948003694
03-13,0.0023999999975785613,0.00010000001930166022,0.0,0.0,0.0,0.0,2.0,2.0,05-12,0.00041666666948003694
03-14,0.0023999999975785613,0.00010000001930166022,0.0,0.0,0.0,0.0,2.0,2.0,05-13,0.00041666666948003694
03-15,0.0023999999975785613,0.00010000001930166022,0.0,0.0,0.0,0.0,2.0,2.0,05-14,0.00041666666948003694
03-16,0.0023999999975785613,0.00010000001930166022,0.0,0.0,0.0,0.0,2.0,2.0,05-15,0.00041666666948003694
03-18,0.0023999999975785613,0.00010000001930166022,0.0,0.0,0.0,0.0,2.0,2.0,05-17,0.00041666666948003694
03-19,0.0023999999975785613,0.00010000001930166022,0.0,0.0,0.0,0.0,2.0,2.0,05-18,0.00041666666948003694
03-20,0.0023999999975785613,0.0,0.0,0.0,0.0,0.0,1.0,3.0,05-19,0.0003999999995964269
03-21,0.0023999999975785613,0.0,0.0,0.0,0.0,0.0,1.0,3.0,05-20,0.0003999999995964269
03-22,0.0023999999975785613,0.0,0.0,0.0,0.0,0.0,1.0,3.0,05-21,0.0003999999995964269
03-23,0.0023999999975785613,0.0,0.0,0.0,0.0,0.0,1.0,3.0,05-22,0.0003999999995964269
03-25,0.0023999999975785613,0.0,0.0,0.0,0.0,0.0,1.0,3.0,05-24,0.0003999999995964269
03-26,0.002200000046286732,0.0,0.0,0.0,0.0,0.0,1.0,3.0,05-25,0.000366666674381122
03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,05-26,0.0
03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,05-27,0.0
03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,05-28,0.0
03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,05-29,0.0
03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,05-30,0.0
04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,05-31,0.0
04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,06-01,0.0
04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,06-02,0.0
04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,06-03,0.0
04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,06-04,0.0
04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,06-06,0.0
04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,06-07,0.0
04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,06-08,0.0
04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,06-09,0.0
04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,06-10,0.0
04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,06-11,0.0
04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,06-12,0.0
04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,06-14,0.0
04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,06-15,0.0
04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,06-16,0.0
04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,06-17,0.0
04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,06-18,0.0
04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,06-19,0.0
04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,06-21,0.0
04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,06-22,0.0
04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,06-23,0.0
04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,06-24,0.0
04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,06-25,0.0
04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,06-26,0.0
04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,06-28,0.0
04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,06-29,0.0
05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,06-30,0.0
05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,07-01,0.0
05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,07-02,0.0
05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,07-03,0.0
05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,07-05,0.0
05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,07-06,0.0
05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,07-07,0.0
05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,07-08,0.0
05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,07-09,0.0
05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,07-10,0.0
05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,07-12,0.0
05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,07-13,0.0
05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,07-14,0.0
05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,07-15,0.0
05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,07-16,0.0
05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,07-17,0.0
05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,07-19,0.0
05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,07-20,0.0
05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,07-21,0.0
05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,07-22,0.0
05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,07-23,0.0
05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,07-24,0.0
05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,07-27,0.0
05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,07-28,0.0
05-30,0.004299999913200736,0.0,0.0,0.0,0.0,0.0,1.0,3.0,07-29,0.0007166666522001227
05-31,0.004299999913200736,0.0,0.0,0.0,0.0,0.0,1.0,3.0,07-30,0.0007166666522001227
06-01,0.004299999913200736,0.0,0.0,0.0,0.0,0.0,1.0,3.0,07-31,0.0007166666522001227
06-03,0.004299999913200736,0.0,0.0,0.0,0.0,0.0,1.0,3.0,08-02,0.0007166666522001227
06-04,0.00030000007245689587,0.0,0.0,0.0,0.0,0.0,1.0,3.0,08-03,5.0000012076149314e-05
06-05,0.00030000007245689587,0.0,0.0,0.0,0.0,0.0,1.0,3.0,08-04,5.0000012076149314e-05
06-06,0.00030000007245689587,-0.0009000001009553667,0.0,0.0,0.0,0.0,1.0,3.0,08-05,-0.00010000000474974513
06-07,0.00030000007245689587,-0.0009000001009553667,0.0,0.0,0.0,0.0,1.0,3.0,08-06,-0.00010000000474974513
06-08,0.00030000007245689587,-0.0009000001009553667,0.0,0.0,0.0,0.0,1.0,3.0,08-07,-0.00010000000474974513
06-10,0.00030000007245689587,-0.0009000001009553667,0.0,0.0,0.0,0.0,1.0,3.0,08-09,-0.00010000000474974513
06-11,0.00030000007245689587,-0.0009000001009553667,0.0,0.0,0.0,0.0,1.0,3.0,08-10,-0.00010000000474974513
06-12,0.00030000007245689587,-0.0009000001009553667,0.0,0.0,0.0,0.0,1.0,3.0,08-11,-0.00010000000474974513
06-13,0.00030000007245689587,-0.0009000001009553667,0.0,0.0,0.0,0.0,1.0,3.0,08-12,-0.00010000000474974513
06-14,0.00030000007245689587,-0.0009000001009553667,0.0,0.0,0.0,0.0,1.0,3.0,08-13,-0.00010000000474974513
06-15,0.00030000007245689587,-0.0009000001009553667,0.0,0.0,0.0,0.0,1.0,3.0,08-14,-0.00010000000474974513
06-17,0.00030000007245689587,-0.0014000000664964318,0.0,0.0,0.0,0.0,1.0,3.0,08-16,-0.00018333333233992266
06-18,0.00030000007245689587,-0.0014000000664964318,0.0,0.0,0.0,0.0,1.0,3.0,08-17,-0.00018333333233992266
06-19,0.00030000007245689587,-0.0014000000664964318,0.0,0.0,0.0,0.0,1.0,3.0,08-18,-0.00018333333233992266
06-20,0.00030000007245689587,-0.0014000000664964318,0.0,0.0,0.0,0.0,1.0,3.0,08-19,-0.00018333333233992266
06-21,0.00030000007245689587,-0.0014000000664964318,0.0,0.0,0.0,0.0,1.0,3.0,08-20,-0.00018333333233992266
06-22,0.00030000007245689587,-0.0014000000664964318,0.0,0.0,0.0,0.0,1.0,3.0,08-21,-0.00018333333233992266
06-24,0.00030000007245689587,-0.0004999999655410652,0.0,0.0,0.0,0.0,1.0,3.0,08-23,-3.3333315514028215e-05
06-25,0.00030000007245689587,-0.0004999999655410652,0.0,0.0,0.0,0.0,1.0,3.0,08-24,-3.3333315514028215e-05
06-26,0.00030000007245689587,-0.0004999999655410652,0.0,0.0,0.0,0.0,1.0,3.0,08-25,-3.3333315514028215e-05
06-27,0.00030000007245689587,-0.0004999999655410652,0.0,0.0,0.0,0.0,1.0,3.0,08-26,-3.3333315514028215e-05
06-28,0.00030000007245689587,-0.0004999999655410652,0.0,0.0,0.0,0.0,1.0,3.0,08-27,-3.3333315514028215e-05
06-29,0.00030000007245689587,-0.0004999999655410652,0.0,0.0,0.0,0.0,1.0,3.0,08-28,-3.3333315514028215e-05
06-30,0.00030000007245689587,-0.0004999999655410652,0.0,0.0,0.0,0.0,1.0,3.0,08-29,-3.3333315514028215e-05
07-01,0.00030000007245689587,-0.0004999999655410652,0.0,0.0,0.0,0.0,1.0,3.0,08-30,-3.3333315514028215e-05
07-02,0.00030000007245689587,-0.0004999999655410652,0.0,0.0,0.0,0.0,1.0,3.0,08-31,-3.3333315514028215e-05
07-03,0.00030000007245689587,-0.0004999999655410652,0.0,0.0,0.0,0.0,1.0,3.0,09-01,-3.3333315514028215e-05
07-05,0.00030000007245689587,-0.0004999999655410652,0.0,0.0,0.0,0.0,1.0,3.0,09-03,-3.3333315514028215e-05
07-06,0.00030000007245689587,-0.0004999999655410652,0.0,0.0,0.0,0.0,1.0,3.0,09-04,-3.3333315514028215e-05
07-08,0.00030000007245689587,-0.0004999999655410652,0.0,0.0,0.0,0.0,1.0,3.0,09-06,-3.3333315514028215e-05
07-09,0.00030000007245689587,-0.0004999999655410652,0.0,0.0,0.0,0.0,1.0,3.0,09-07,-3.3333315514028215e-05
07-10,0.00030000007245689587,-0.0004999999655410652,0.0,0.0,0.0,0.0,1.0,3.0,09-08,-3.3333315514028215e-05
07-11,0.00030000007245689587,-0.0004999999655410652,0.0,0.0,0.0,0.0,1.0,3.0,09-09,-3.3333315514028215e-05
07-12,0.00030000007245689587,-0.0004999999655410652,0.0,0.0,0.0,0.0,1.0,3.0,09-10,-3.3333315514028215e-05
07-13,0.00030000007245689587,-0.0004999999655410652,0.0,0.0,0.0,0.0,1.0,3.0,09-11,-3.3333315514028215e-05
07-14,0.00030000007245689587,-0.0004999999655410652,0.0,0.0,0.0,0.0,1.0,3.0,09-12,-3.3333315514028215e-05
07-15,0.00030000007245689587,-0.0004999999655410652,0.0,0.0,0.0,0.0,1.0,3.0,09-13,-3.3333315514028215e-05
07-16,0.00030000007245689587,-0.0004999999655410652,0.0,0.0,0.0,0.0,1.0,3.0,09-14,-3.3333315514028215e-05
07-17,0.00030000007245689587,-0.0004999999655410652,0.0,0.0,0.0,0.0,1.0,3.0,09-15,-3.3333315514028215e-05
07-18,0.00030000007245689587,-0.0004999999655410652,0.0,0.0,0.0,0.0,1.0,3.0,09-16,-3.3333315514028215e-05
07-19,0.00030000007245689587,-0.0004999999655410652,0.0,0.0,0.0,0.0,1.0,3.0,09-17,-3.3333315514028215e-05
07-20,0.00030000007245689587,0.0,0.0,0.0,0.0,0.0,1.0,3.0,09-18,5.0000012076149314e-05
07-21,0.00030000007245689587,0.0,0.0,0.0,0.0,0.0,1.0,3.0,09-19,5.0000012076149314e-05
07-22,0.00030000007245689587,0.0,0.0,0.0,0.0,0.0,1.0,3.0,09-20,5.0000012076149314e-05
07-23,0.00030000007245689587,0.0,0.0,0.0,0.0,0.0,1.0,3.0,09-21,5.0000012076149314e-05
07-24,0.00030000007245689587,0.0,0.0,0.0,0.0,0.0,1.0,3.0,09-22,5.0000012076149314e-05
07-25,-0.00399999984074384,0.0,0.0,0.0,0.0,0.0,0.0,4.0,09-23,-0.0006666666401239733
07-26,-0.00399999984074384,0.0,0.0,0.0,0.0,0.0,0.0,4.0,09-24,-0.0006666666401239733
07-27,-0.00399999984074384,0.0,0.0,0.0,0.0,0.0,0.0,4.0,09-25,-0.0006666666401239733
07-28,-0.00399999984074384,0.0,0.0,0.0,0.0,0.0,0.0,4.0,09-26,-0.0006666666401239733
07-29,-0.00399999984074384,0.0,0.0,0.0,0.0,0.0,0.0,4.0,09-27,-0.0006666666401239733
07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,09-28,0.0
07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,09-29,0.0
08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,09-30,0.0
08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10-01,0.0
08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10-02,0.0
08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10-03,0.0
08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10-04,0.0
08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10-05,0.0
08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10-06,0.0
08-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10-07,0.0
08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10-08,0.0
08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10-09,0.0
08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10-10,0.0
08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10-11,0.0
08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10-12,0.0
08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10-13,0.0
08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10-14,0.0
08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10-15,0.0
08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10-16,0.0
08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10-17,0.0
08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10-18,0.0
08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10-19,0.0
08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10-20,0.0
08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10-21,0.0
08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10-22,0.0
08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10-23,0.0
08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10-24,0.0
08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10-25,0.0
08-27,0.0010000000474974509,0.0,0.0,0.0,0.0,0.0,1.0,3.0,10-26,0.0001666666745829085
08-28,0.0010000000474974509,0.0,0.0,0.0,0.0,0.0,1.0,3.0,10-27,0.0001666666745829085
08-29,0.0010000000474974509,0.0,0.0,0.0,0.0,0.0,1.0,3.0,10-28,0.0001666666745829085
08-30,0.0010000000474974509,0.0,0.0,0.0,0.0,0.0,1.0,3.0,10-29,0.0001666666745829085
08-31,0.0010000000474974509,0.0,0.0,0.0,0.0,0.0,1.0,3.0,10-30,0.0001666666745829085
09-01,0.0010000000474974509,0.0,0.0,0.0,0.0,0.0,1.0,3.0,10-31,0.0001666666745829085
09-02,0.0010000000474974509,0.0,0.0,0.0,0.0,0.0,1.0,3.0,11-01,0.0001666666745829085
09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11-02,0.0
09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11-03,0.0
09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11-04,0.0
09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11-05,0.0
09-07,0.00399999984074384,0.0,0.0,0.0,0.0,0.0,1.0,3.0,11-06,0.0006666666401239733
09-08,0.00399999984074384,0.0,0.0,0.0,0.0,0.0,1.0,3.0,11-07,0.0006666666401239733
09-09,0.0029999997932463893,0.0,0.0,0.0,0.0,0.0,1.0,3.0,11-08,0.0004999999655410648
09-10,0.0029999997932463893,0.0,0.0,0.0,0.0,0.0,1.0,3.0,11-09,0.0004999999655410648
09-11,0.0029999997932463893,0.0,0.0,0.0,0.0,0.0,1.0,3.0,11-10,0.0004999999655410648
09-12,0.0029999997932463893,0.0,0.0,0.0,0.0,0.0,1.0,3.0,11-11,0.0004999999655410648
09-13,0.0020000000949949017,0.0,0.0,0.0,0.0,0.0,1.0,3.0,11-12,0.000333333349165817
09-14,0.0020000000949949017,0.0,0.0,0.0,0.0,0.0,1.0,4.0,11-13,0.000333333349165817
09-16,0.0020000000949949017,0.0,0.0,0.0,0.0,0.0,1.0,4.0,11-15,0.000333333349165817
09-17,0.0020000000949949017,0.0,0.0,0.0,0.0,0.0,1.0,4.0,11-16,0.000333333349165817
09-18,0.0020000000949949017,0.0,0.0,0.0,0.0,0.0,1.0,5.0,11-17,0.000333333349165817
09-19,0.0030000001424923526,0.0,0.0,0.0,0.0,0.0,1.0,5.0,11-18,0.0005000000237487254
09-20,0.0030000001424923526,0.0,0.0,0.0,0.0,0.0,1.0,5.0,11-19,0.0005000000237487254
09-21,0.0030000001424923526,0.0,0.0,0.0,0.0,0.0,1.0,5.0,11-20,0.0005000000237487254
09-23,0.0030000001424923526,0.0,0.0,0.0,0.0,0.0,1.0,5.0,11-22,0.0005000000237487254
09-24,0.0030000001424923526,0.0,0.0,0.0,0.0,0.0,1.0,5.0,11-23,0.0005000000237487254
09-25,0.0030000001424923526,0.0,0.0,0.0,0.0,0.0,1.0,5.0,11-24,0.0005000000237487254
09-26,0.0030000001424923526,0.0,0.0,0.0,0.0,0.0,1.0,5.0,11-25,0.0005000000237487254
09-27,0.0030000001424923526,0.0,0.0,0.0,0.0,0.0,1.0,5.0,11-26,0.0005000000237487254
09-28,0.0030000001424923526,0.0,0.0,0.0,0.0,0.0,1.0,5.0,11-27,0.0005000000237487254
09-30,0.0030000001424923526,0.0,0.0,0.0,0.0,0.0,1.0,5.0,11-29,0.0005000000237487254
10-01,0.0030000001424923526,0.0,0.0,0.0,0.0,0.0,1.0,5.0,11-30,0.0005000000237487254
10-02,0.0030000001424923526,0.0,0.0,0.0,0.0,0.0,1.0,5.0,12-01,0.0005000000237487254
10-03,0.0030000001424923526,0.0,0.0,0.0,0.0,0.0,1.0,5.0,12-02,0.0005000000237487254
10-04,0.0019999999785795812,0.0,0.0,0.0,0.0,0.0,1.0,5.0,12-03,0.0003333333297632635
10-05,0.0019999999785795812,0.0,0.0,0.0,0.0,0.0,1.0,5.0,12-04,0.0003333333297632635
10-07,0.0019999999785795812,0.0,0.0,0.0,0.0,0.0,1.0,5.0,12-06,0.0003333333297632635
