,2009,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761905606641802,0.0,1.0,7.0,0.4761905606641802
02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761905606641802,0.0,1.0,7.0,0.4761905606641802
02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761905606641802,0.0,1.0,7.0,0.4761905606641802
02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761905606641802,0.0,1.0,7.0,0.4761905606641802
02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761905606641802,0.0,1.0,7.0,0.4761905606641802
02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761905606641802,0.0,1.0,7.0,0.4761905606641802
02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761905606641802,0.0,1.0,7.0,0.4761905606641802
02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761905606641802,0.0,1.0,7.0,0.4761905606641802
02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761905606641802,0.0,1.0,7.0,0.4761905606641802
02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761905606641802,0.0,1.0,7.0,0.4761905606641802
02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761905606641802,0.0,1.0,7.0,0.4761905606641802
02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761905606641802,0.0,1.0,7.0,0.4761905606641802
02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761905606641802,0.0,1.0,7.0,0.4761905606641802
02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.499997982134374,1.0,7.0,4.749999798213437
03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.499997982134374,1.0,7.0,4.749999798213437
03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.499997982134374,1.0,7.0,4.749999798213437
03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.499997982134374,1.0,7.0,4.749999798213437
03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.499997982134374,1.0,7.0,4.749999798213437
03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.499997982134374,1.0,7.0,4.749999798213437
03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.499997982134374,1.0,7.0,4.749999798213437
03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.499997982134374,1.0,7.0,4.749999798213437
03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.499997982134374,1.0,7.0,4.749999798213437
03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.499997982134374,1.0,7.0,4.749999798213437
03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.499997982134374,1.0,7.0,4.749999798213437
03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.49998690327693,0.0,9.0,-8.749998690327693
04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.49998690327693,0.0,9.0,-8.749998690327693
04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.49998690327693,0.0,9.0,-8.749998690327693
04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.49998690327693,0.0,8.0,-8.749998690327693
05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.49998690327693,0.0,8.0,-8.749998690327693
05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.49998690327693,0.0,8.0,-8.749998690327693
05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.49998690327693,0.0,8.0,-8.749998690327693
05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.49998690327693,0.0,8.0,-8.749998690327693
05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.49998690327693,0.0,8.0,-8.749998690327693
05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.49998690327693,0.0,8.0,-8.749998690327693
05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.000000931322596,-87.49998690327693,0.0,8.0,-9.249998783459953
05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.000000931322596,0.0,0.0,8.0,-0.5000000931322596
05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.000000931322596,0.0,0.0,8.0,-0.5000000931322596
05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.000000931322596,0.0,0.0,8.0,-0.5000000931322596
05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.000000931322596,0.0,0.0,8.0,-0.5000000931322596
05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.000000931322596,0.0,0.0,8.0,-0.5000000931322596
05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.000000931322596,0.0,0.0,8.0,-0.5000000931322596
05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.000000931322596,0.0,0.0,8.0,-0.5000000931322596
05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.000000931322596,0.0,0.0,8.0,-0.5000000931322596
05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.000000931322596,0.0,0.0,8.0,-0.5000000931322596
05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.000000931322596,0.0,0.0,8.0,-0.5000000931322596
05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
05-25,0.0,0.0,0.0,0.0,0.0,-5899.9995809048605,0.0,0.0,0.0,0.0,0.0,8.0,-589.9999580904861
05-26,0.0,0.0,0.0,0.0,0.0,-5899.9995809048605,0.0,0.0,0.0,0.0,0.0,8.0,-589.9999580904861
05-27,0.0,0.0,0.0,0.0,0.0,-5899.9995809048605,0.0,0.0,0.0,0.0,0.0,8.0,-589.9999580904861
05-28,0.0,0.0,0.0,0.0,0.0,-5899.9995809048605,0.0,0.0,0.0,0.0,0.0,8.0,-589.9999580904861
05-29,0.0,0.0,0.0,0.0,0.0,-5899.9995809048605,0.0,0.0,0.0,0.0,0.0,8.0,-589.9999580904861
05-30,0.0,0.0,0.0,0.0,0.0,-5899.9995809048605,0.0,0.0,0.0,0.0,0.0,8.0,-589.9999580904861
05-31,0.0,0.0,0.0,0.0,0.0,-5899.9995809048605,0.0,0.0,0.0,0.0,0.0,8.0,-589.9999580904861
06-01,0.0,0.0,0.0,0.0,0.0,-5899.9995809048605,0.0,0.0,0.0,0.0,0.0,8.0,-589.9999580904861
06-02,0.0,0.0,0.0,0.0,0.0,-5899.9995809048605,0.0,0.0,0.0,0.0,0.0,8.0,-589.9999580904861
06-03,0.0,0.0,0.0,0.0,0.0,-5899.9995809048605,0.0,0.0,0.0,0.0,0.0,9.0,-589.9999580904861
06-04,0.0,0.0,0.0,0.0,0.0,-5899.9995809048605,0.0,0.0,0.0,0.0,0.0,9.0,-589.9999580904861
06-05,0.0,0.0,0.0,0.0,0.0,-5899.9995809048605,0.0,0.0,0.0,0.0,0.0,9.0,-589.9999580904861
06-06,0.0,0.0,0.0,0.0,0.0,-5899.9995809048605,0.0,0.0,0.0,0.0,0.0,9.0,-589.9999580904861
06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.88888957875743,0.0,0.0,1.0,9.0,8.888888957875743
07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.88888957875743,0.0,0.0,1.0,9.0,8.888888957875743
07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.88888957875743,0.0,0.0,1.0,9.0,8.888888957875743
07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.88888957875743,0.0,0.0,1.0,9.0,8.888888957875743
07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.88888957875743,0.0,0.0,1.0,9.0,8.888888957875743
07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.88888957875743,0.0,0.0,1.0,9.0,8.888888957875743
07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.88888957875743,0.0,0.0,1.0,9.0,8.888888957875743
07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-800.0000558793555,0.0,0.0,0.0,10.0,-80.00000558793555
07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-800.0000558793555,0.0,0.0,0.0,10.0,-80.00000558793555
07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-800.0000558793555,0.0,0.0,0.0,10.0,-80.00000558793555
07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-800.0000558793555,0.0,0.0,0.0,10.0,-80.00000558793555
07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1700.000111758711,0.0,0.0,0.0,10.0,-170.0000111758711
07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1700.000111758711,0.0,0.0,0.0,10.0,-170.0000111758711
07-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1700.000111758711,0.0,0.0,0.0,10.0,-170.0000111758711
07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,10.0,-10.0
07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,10.0,-10.0
07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,10.0,-10.0
07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,10.0,-10.0
08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,10.0,-10.0
08-02,0.0,0.0,0.0,0.0,0.0,0.0,49.999999999999986,-100.0,0.0,0.0,1.0,9.0,-5.000000000000002
08-03,0.0,0.0,0.0,0.0,0.0,0.0,49.999999999999986,-100.0,0.0,0.0,1.0,9.0,-5.000000000000002
08-04,0.0,0.0,0.0,0.0,0.0,0.0,49.999999999999986,-100.0,0.0,0.0,1.0,9.0,-5.000000000000002
08-05,0.0,0.0,0.0,0.0,0.0,0.0,49.999999999999986,-100.0,0.0,0.0,1.0,9.0,-5.000000000000002
08-06,0.0,0.0,0.0,0.0,0.0,0.0,49.999999999999986,-100.0,0.0,0.0,1.0,9.0,-5.000000000000002
08-07,0.0,0.0,0.0,0.0,0.0,0.0,49.999999999999986,0.0,0.0,0.0,1.0,9.0,4.999999999999998
08-08,0.0,0.0,0.0,0.0,0.0,0.0,49.999999999999986,0.0,0.0,0.0,1.0,9.0,4.999999999999998
08-09,0.0,0.0,0.0,0.0,0.0,0.0,49.999999999999986,0.0,0.0,0.0,1.0,9.0,4.999999999999998
08-10,0.0,0.0,0.0,0.0,0.0,0.0,49.999999999999986,0.0,0.0,0.0,1.0,9.0,4.999999999999998
08-11,0.0,0.0,0.0,0.0,0.0,0.0,49.999999999999986,0.0,0.0,0.0,1.0,9.0,4.999999999999998
08-12,0.0,0.0,0.0,0.0,0.0,0.0,49.999999999999986,0.0,0.0,0.0,1.0,9.0,4.999999999999998
08-13,0.0,0.0,0.0,0.0,0.0,0.0,49.999999999999986,0.0,0.0,0.0,1.0,9.0,4.999999999999998
08-14,0.0,0.0,0.0,0.0,0.0,0.0,49.999999999999986,0.0,0.0,0.0,1.0,9.0,4.999999999999998
08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
