,2019,ups,downs,avg
03-08,0.0,0.0,1.0,0.0
03-11,0.0,0.0,1.0,0.0
04-15,0.0,0.0,1.0,0.0
04-16,0.0,0.0,1.0,0.0
04-17,0.0,0.0,1.0,0.0
04-18,0.0,0.0,1.0,0.0
04-22,0.0,0.0,1.0,0.0
04-23,0.0,0.0,1.0,0.0
04-24,0.0,0.0,1.0,0.0
04-25,0.0,0.0,1.0,0.0
04-26,0.0,0.0,1.0,0.0
04-29,0.0,0.0,1.0,0.0
04-30,0.0,0.0,1.0,0.0
05-01,0.0,0.0,1.0,0.0
05-02,0.0,0.0,1.0,0.0
05-03,0.0,0.0,1.0,0.0
05-06,0.0,0.0,1.0,0.0
05-07,0.0,0.0,1.0,0.0
05-08,0.0,0.0,1.0,0.0
05-09,0.0,0.0,1.0,0.0
05-10,0.0,0.0,1.0,0.0
05-13,0.0,0.0,1.0,0.0
05-14,0.0,0.0,1.0,0.0
05-15,0.0,0.0,1.0,0.0
05-16,0.0,0.0,1.0,0.0
05-17,0.0,0.0,1.0,0.0
05-20,0.0,0.0,1.0,0.0
05-21,0.0,0.0,1.0,0.0
05-22,0.0,0.0,1.0,0.0
05-23,0.0,0.0,1.0,0.0
05-24,0.0,0.0,1.0,0.0
05-28,0.0,0.0,1.0,0.0
05-29,0.0,0.0,1.0,0.0
05-30,0.0,0.0,1.0,0.0
05-31,0.0,0.0,1.0,0.0
06-03,0.0,0.0,1.0,0.0
06-04,0.0,0.0,1.0,0.0
06-05,0.0,0.0,1.0,0.0
06-06,0.0,0.0,1.0,0.0
06-07,0.0,0.0,1.0,0.0
