,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
01-17,0.0,0.0,0.0,-3.8961021368168502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-0.3896102136816851
01-18,0.0,0.0,0.0,-3.8961021368168502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-0.3896102136816851
01-19,0.0,0.0,0.0,-3.8961021368168502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-0.3896102136816851
01-20,0.0,0.0,0.0,-3.8961021368168502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-0.3896102136816851
01-21,0.0,0.0,0.0,-3.8961021368168502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-0.3896102136816851
01-22,0.0,0.0,0.0,-3.8961021368168502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-0.3896102136816851
01-23,0.0,0.0,0.0,-3.8961021368168502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-0.3896102136816851
01-24,0.0,0.0,0.0,-3.8961021368168502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-0.3896102136816851
01-25,0.0,0.0,0.0,-3.8961021368168502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-0.3896102136816851
01-26,0.0,0.0,0.0,-3.8961021368168502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-0.3896102136816851
01-27,0.0,0.0,0.0,-3.8961021368168502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-0.3896102136816851
01-28,0.0,0.0,0.0,-3.8961021368168502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-0.3896102136816851
01-29,0.0,0.0,0.0,-3.8961021368168502,46.896550483850994,0.0,0.0,0.0,0.0,0.0,1.0,7.0,4.3000448347034155
01-30,0.0,0.0,0.0,-3.8961021368168502,46.896550483850994,0.0,0.0,0.0,0.0,0.0,1.0,7.0,4.3000448347034155
01-31,0.0,0.0,0.0,-3.8961021368168502,46.896550483850994,0.0,0.0,0.0,0.0,-100.0,1.0,7.0,-5.6999551652965845
02-01,0.0,0.0,0.0,-3.8961021368168502,46.896550483850994,0.0,0.0,0.0,0.0,-100.0,1.0,7.0,-5.6999551652965845
02-02,0.0,0.0,0.0,-3.8961021368168502,46.896550483850994,0.0,0.0,0.0,0.0,-100.0,1.0,7.0,-5.6999551652965845
02-03,0.0,0.0,0.0,-3.8961021368168502,46.896550483850994,0.0,0.0,0.0,0.0,-100.0,1.0,7.0,-5.6999551652965845
