,2009,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2629998922348016,0.0,0.0,0.0,8.0,02-16,-0.026299989223480157
01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2629998922348016,0.0,0.0,0.0,8.0,02-17,-0.026299989223480157
01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2629998922348016,0.0,0.0,0.0,8.0,02-18,-0.026299989223480157
01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2629998922348016,0.0,0.0,0.0,8.0,02-19,-0.026299989223480157
01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2629998922348016,0.0,0.0,0.0,8.0,02-20,-0.026299989223480157
01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2629998922348016,0.0,0.0,0.0,8.0,02-21,-0.026299989223480157
01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2629998922348016,0.0,0.0,0.0,8.0,02-22,-0.026299989223480157
01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,02-23,0.0
01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,02-24,0.0
01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,02-25,0.0
01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,02-26,0.0
01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,02-27,0.0
01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,02-28,0.0
01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,02-29,0.0
01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-01,0.0
01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-02,0.0
01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-03,0.0
01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-04,0.0
01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-05,0.0
01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-06,0.0
01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-07,0.0
01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-08,0.0
01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-09,0.0
01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-10,0.0
01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-11,0.0
01-27,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-12,-0.03373129367828369
01-28,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-13,-0.03373129367828369
01-29,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-14,-0.03373129367828369
01-30,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-15,-0.03373129367828369
01-31,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-16,-0.03373129367828369
02-01,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-17,-0.03373129367828369
02-02,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-18,-0.03373129367828369
02-03,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-19,-0.03373129367828369
02-04,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-20,-0.03373129367828369
02-05,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-21,-0.03373129367828369
02-06,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-22,-0.03373129367828369
02-07,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-23,-0.03373129367828369
02-08,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-24,-0.03373129367828369
02-09,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-25,-0.03373129367828369
02-10,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-26,-0.03373129367828369
02-11,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-27,-0.03373129367828369
02-12,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-28,-0.03373129367828369
02-13,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-29,-0.03373129367828369
02-14,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-30,-0.03373129367828369
02-15,0.0,0.0,-0.3373129367828369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,03-31,-0.03373129367828369
